idx,name
1,左中央前回
2,右中央前回
3,左背外侧额上回
4,右背外侧额上回
5,左眶部额上回
6,右眶部额上回
7,左额中回
8,右额中回
9,左眶部额中回
10,右眶部额中回
11,左岛盖部额下回
12,右岛盖部额下回
13,左三角部额下回
14,右三角部额下回
15,左眶部额下回 
16,右眶部额下回 
17,左中央沟盖
18,右中央沟盖
19,左辅助运动区
20,右辅助运动区
21,左嗅皮质
22,右嗅皮质
23,左内侧额上回
24,右内侧额上回
25,左眶内额上回
26,右眶内额上回
27,左回直肌
28,右回直肌
29,左脑岛
30,右脑岛
31,左前扣带和旁扣带脑回
32,右前扣带和旁扣带脑回
33,左内侧和旁扣带脑回
34,右内侧和旁扣带脑回
35,左后扣带回
36,右后扣带回
37,左海马
38,右海马
39,左海马旁回
40,右海马旁回
41,左杏仁核
42,右杏仁核
43,左距状裂周围皮层
44,右距状裂周围皮层
45,左楔叶
46,右楔叶
47,左舌回
48,右舌回
49,左枕上回
50,右枕上回
51,左枕中回
52,右枕中回
53,左枕下回
54,右枕下回
55,左梭状回
56,右梭状回
57,左中央后回
58,右中央后回
59,左顶上回
60,右顶上回
61,左顶下缘角回
62,右顶下缘角回
63,左缘上回
64,右缘上回
65,左角回
66,右角回
67,左楔前叶
68,右楔前叶
69,左中央旁小叶
70,右中央旁小叶
71,左尾状核
72,右尾状核
73,左豆状壳核
74,右豆状壳核
75,左豆状苍白球
76,右豆状苍白球
77,左丘脑
78,右丘脑
79,左颞横回
80,右颞横回
81,左颞上回
82,右颞上回
83,左颞上回，颞极
84,右颞上回，颞极
85,左颞中回
86,右颞中回
87,左颞中回，颞极
88,右颞中回，颞极
89,左颞下回
90,右颞下回
91,左小脑一区
92,右小脑一区
93,左小脑二区
94,右小脑二区
95,左小脑三区
96,右小脑三区
97,左小脑四、五区
98,右小脑四、五区
99,左小脑六区
100,右小脑六区
101,左小脑七区
102,右小脑七区
103,左小脑八区
104,右小脑八区
105,左小脑九区
106,右小脑九区
107,左小脑十区
108,右小脑十区
109,小脑蚓部一、二区
110,小脑蚓部三区
111,小脑蚓部四、五区
112,小脑蚓部六区
113,小脑蚓部七区
114,小脑蚓部八区
115,小脑蚓部九区
116,小脑蚓部十区
