idx,label,name,abbr
1,BA1,Primary somatosensory cortex,BA1
4,BA4,Primary motor cortex,BA4
5,BA5,Sensory Association,BA5
6,BA6,Brodmann area 6,BA6
7,BA7,Visuo-Motor Coordination,BA7
8,BA8,Brodmann area 8,BA8
9,BA9,Brodmann area 9,BA9
10,BA10,Brodmann area 10,BA10
11,BA11,Brodmann area 11,BA11
13,BA13,Insula,BA13
17,BA17,Primary visual cortex (V1),BA17
18,BA18,Secondary visual cortex (V2),BA18
19,BA19,"Associative visual cortex (V3, V4, V5)",BA19
20,BA20,Brodmann area 20,BA20
21,BA21,Brodmann area 21,BA21
22,BA22,Brodmann area 22,BA22
23,BA23,Brodmann area 23,BA23
24,BA24,Brodmann area 24,BA24
25,BA25,Brodmann area 25,BA25
30,BA30,Brodmann area 30,BA30
31,BA31,Brodmann area 31,BA31
32,BA32,Brodmann area 32,BA32
34,BA34,Brodmann area 34,BA34
36,BA36,Parahippocampal gyrus ,BA36
37,BA37,Fusiform gyrus,BA37
38,BA38,Brodmann area 38,BA38
39,BA39,Brodmann area 39,BA39
40,BA40,Brodmann area 40,BA40
41,BA41,Primary auditory cortex,BA41
44,BA44,Brodmann area 44,BA44
45,BA45,Brodmann area 45,BA45
46,BA46,Brodmann area 46,BA46
47,BA47,Brodmann area 47,BA47
48,BA48,Caudate nucleus,BA48
49,BA49,Putamen,BA49
50,BA50,Thalamus,BA50
51,BA51,Globus Pallidus,BA51
52,BA52,nucleus accumbens,BA52
53,BA53,Amygdala,BA53
54,BA54,Hippocampus,BA54
55,BA55,Hypothalamus,BA55
